groupA,groupB,groupC
calculator,Cameras,Leica Digilux
calculator,Cameras,Panasonic Lumix G9
calculator,Cameras,Panasonic Lumix GH4
calculator,Cameras,Panasonic LUMIX G85
calculator,Cameras,Panasonic Lumix G7
calculator,Cameras,Panasonic LUMIX GH5s
calculator,Cameras,Panasonic Lumix DMC-G7
calculator,Cameras,Panasonic Lumix GH5
calculator,Cameras,Panasonic Lumix DMC-ZS100
calculator,Cameras,Panasonic LUMIX FZ80
calculator,Cameras,Panasonic LUMIX GX85
calculator,Cameras,Panasonic Lumix DMC-FZ1000
calculator,Cameras,Panasonic Lumix GX7
calculator,Cameras,Kodak EasyShare
calculator,Cameras,Kodak PIXPRO
calculator,Cameras,Kodak DC
calculator,Cameras,Samsung NX
calculator,Cameras,Samsung Galaxy Camera
calculator,Cameras,Samsung Smart Camera
calculator,Cameras,Samsung WB Series
calculator,Cameras,Samsung SL Series
calculator,Cameras,Samsung ST Series
Albums,TheBeatles,The Beatles Please Please Me
Albums,TheBeatles,The Beatles With the Beatles
Albums,TheBeatles,The Beatles Introducing... The Beatles
Albums,TheBeatles,The Beatles Meet the Beatles!
Albums,TheBeatles,The Beatles Twist and Shout
Albums,TheBeatles,The Beatles The Beatles' Second
Albums,TheBeatles,The Beatles The Beatles' Long Tall Sally
Albums,TheBeatles,The Beatles A Hard Day's Night
Albums,TheBeatles,The Beatles Something New
Albums,TheBeatles,The Beatles Beatles for Sale
Albums,TheBeatles,The Beatles Beatles '65
Albums,TheBeatles,The Beatles Beatles VI
Albums,TheBeatles,The Beatles Help!
Albums,TheBeatles,The Beatles Rubber Soul
Albums,TheBeatles,The Beatles Yesterday and Today
Albums,TheBeatles,The Beatles Revolver
Albums,TheBeatles,The Beatles Sgt. Pepper's Lonely Hearts Club Band
Albums,TheBeatles,The Beatles Magical Mystery Tour
Albums,TheBeatles,The Beatles The Beatles ('The White')
Albums,TheBeatles,The Beatles Yellow Submarine
Albums,TheBeatles,The Beatles Abbey Road
Albums,TheBeatles,The Beatles Let It Be
Albums,Cream,Cream Fresh Cream
Albums,Cream,Cream Disraeli Gears
Albums,Cream,Cream Wheels of Fire
Albums,Cream,Cream Goodbye
Albums,Cream,Cream Live Cream
Albums,Cream,Cream Live Cream Volume II
Albums,Cream,Cream BBC Sessions
Albums,Cream,"Cream Royal Albert Hall London May 2-3-5-6, 2005"
calculator,GPUs,RTX 3090
calculator,GPUs,RTX 3080
calculator,GPUs,RTX 3070
calculator,GPUs,RTX 2080 Ti
calculator,GPUs,RTX 2080
calculator,GPUs,RTX 2080 Super
calculator,GPUs,RTX 2070
calculator,GPUs,RTX 2070 Super
calculator,GPUs,RTX 2060 Super
calculator,GPUs,RTX 2060
calculator,GPUs,RTX 1660
calculator,GPUs,RTX 1660 Ti
calculator,GPUs,RTX 1660 Super
calculator,GPUs,RTX 1650
calculator,GPUs,RTX 1650 Super
calculator,GPUs,RTX 1080 Ti
calculator,GPUs,RTX 1080
calculator,GPUs,RTX 1070 
calculator,GPUs,RTX 1070 Ti
calculator,GPUs,RTX 1060
calculator,GPUs,RTX 1050 Ti
calculator,GPUs,RTX 1050
calculator,GPUs,RX 6800 XT
calculator,GPUs,RX 6800
calculator,GPUs,RX 5700 XT
calculator,GPUs,RX 5700
calculator,GPUs,RX 5600 XT
calculator,GPUs,RX 5500 XT
calculator,GPUs,RX 590
calculator,GPUs,RX 580
calculator,GPUs,RX 570
calculator,GPUs,RX 480
calculator,GPUs,RX 470
calculator,GPUs,Vega 64
calculator,GPUs,Vega 56
calculator,GPUs,Radeon VII
