name,queryDataDirectory,productListDirectory,AveragePriceDirectory,VolumeDirectory,AllListingsLink,AuctionLink,BuyItNowLink
Canon EOS 5D Mark III,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 5D Mark III&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 5D Mark III&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 5D Mark III&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS 5D Mark IV,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 5D Mark IV&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 5D Mark IV&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 5D Mark IV&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS 60D,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 60D&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 60D&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 60D&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS 6D,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 6D&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 6D&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 6D&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS 6D Mark II,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 6D Mark II&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 6D Mark II&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 6D Mark II&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS 70D,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 70D&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 70D&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 70D&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS 7D Mark II,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 7D Mark II&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 7D Mark II&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 7D Mark II&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS 80D,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 80D&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 80D&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS 80D&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS Digital Rebel,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Digital Rebel&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Digital Rebel&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS Digital Rebel&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
Canon EOS M,,,,,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS M&LH_Sold=1&LH_Complete=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS M&LH_Sold=1&LH_Complete=1&rt=nc&LH_Auction=1&_ipg=200,https://www.ebay.com/sch/i.html?_from=R40&_nkw=Canon EOS M&LH_Sold=1&LH_Complete=1&rt=nc&LH_BIN=1&_ipg=200
